Loaded 3616103 Gaussians
min xyz= [-64.89617, -82.048355, -71.523445]
max xyz= [54.875557, 14.872151, 97.003265]
rotation=[0.7986186, 0.41258845, -0.39776915, 0.18373558]
rotation=[0.7440035, 0.5149161, -0.37034753, 0.21014972]
rotation=[0.9099417, -0.025843456, -0.39382488, -0.12743667]
rotation=[0.78428656, 0.36277086, -0.4567841, 0.21128191]
rotation=[0.89022666, 0.12792188, -0.4351032, -0.042633116]
rotation=[0.88212377, 0.16523899, -0.4409816, -0.009435452]
rotation=[0.63782024, 0.6627506, -0.27859107, 0.27628627]
rotation=[0.5594449, 0.7260642, -0.20417762, 0.34374955]
rotation=[0.5789134, 0.7162207, -0.23661885, 0.3096753]
rotation=[0.8111362, 0.35262114, -0.43836337, 0.15985642]
rotation=[0.6004909, 0.6965696, -0.24705286, 0.3052317]
rotation=[0.83874434, 0.1301872, -0.5275341, -0.035592668]
rotation=[0.83826244, 0.33927044, -0.4042501, 0.13708891]
rotation=[0.8450037, 0.06743189, -0.5222202, -0.09331568]
rotation=[0.6470568, 0.60895383, -0.2900448, 0.35548103]
rotation=[0.6007841, 0.6864061, -0.22089216, 0.34512562]
rotation=[0.78624463, 0.27125052, -0.5527953, 0.051574357]
rotation=[0.73175937, 0.48705214, -0.41590807, 0.23308568]
rotation=[0.75177705, 0.46332705, -0.41875833, 0.21166201]
rotation=[0.5304459, 0.7431628, -0.17499074, 0.3683943]
rotation=[0.74918664, 0.4924514, -0.35517853, 0.2646871]
rotation=[0.66618615, 0.5791388, -0.3461245, 0.3177925]
rotation=[0.6762629, 0.5624684, -0.20319234, 0.4301286]
rotation=[0.8293215, 0.3590507, -0.41002426, 0.12324179]
rotation=[0.8599892, -0.0022321658, -0.49997213, 0.102183156]
rotation=[0.84414536, 0.32952964, -0.31247357, 0.28493705]
rotation=[0.80676407, 0.32975134, -0.38122126, 0.308328]
rotation=[0.7826673, 0.37048402, -0.45571604, 0.20614685]
rotation=[0.75518745, 0.4308179, -0.45583645, 0.19052805]
rotation=[0.77110094, 0.36791205, -0.47207287, 0.21723545]
rotation=[0.78695285, 0.3985489, -0.42351207, 0.20615862]
rotation=[0.8299881, 0.35246223, -0.33962372, 0.26748046]
rotation=[0.95824814, -0.18838021, -0.10460208, -0.18796748]
rotation=[0.92211556, -0.109764196, -0.3643152, -0.07020845]
rotation=[0.921346, -0.18432426, -0.31119302, -0.14249569]
rotation=[0.90304947, 0.038417123, -0.42707148, -0.025214469]
rotation=[0.99142736, 0.077023506, -0.092861526, -0.050159015]
rotation=[0.98345655, 0.106356725, -0.10143069, -0.10589196]
rotation=[0.88377494, 0.06116685, -0.45387188, 0.09592099]
rotation=[0.909146, 0.026287364, -0.41538185, 0.014841547]
rotation=[0.8877548, 0.046950568, -0.45676774, 0.03241042]
rotation=[0.9697959, -0.087146275, -0.20224111, -0.10488143]
rotation=[0.85358363, 0.10780534, -0.5007948, 0.09475004]
rotation=[0.72833467, 0.17473835, -0.64464796, 0.1530498]
rotation=[0.9180721, -0.19145702, -0.20428051, -0.28063717]
rotation=[0.981126, -0.07405173, -0.1545225, -0.08961587]
rotation=[0.9452891, -0.12621629, -0.28404608, -0.09907475]
rotation=[0.86534804, -0.3408152, -0.17530523, -0.32293332]
rotation=[0.968617, -0.11414875, -0.19021738, -0.11210906]
rotation=[0.9268421, -0.054164264, -0.3659074, -0.0643561]
rotation=[0.95242035, -0.079846054, -0.2829133, -0.08049954]
rotation=[0.9764864, 0.13767058, -0.025695963, 0.16389294]
rotation=[0.9877873, 0.13915649, 0.0050848206, 0.06989884]
rotation=[0.8576453, 0.35370442, -0.08687827, -0.3630288]
rotation=[0.91734934, 0.30240762, -0.03513288, -0.25648674]
rotation=[0.80040234, 0.58026093, -0.103249155, -0.10951172]
rotation=[0.8895934, 0.37128994, -0.22611548, 0.14014001]
rotation=[0.8897975, 0.3436873, -0.25322574, 0.16129516]
rotation=[0.7491646, 0.62956434, 0.1973774, -0.05867976]
rotation=[0.6764198, 0.69456923, 0.23482871, -0.069895655]
rotation=[0.8188692, 0.5302402, -0.20461681, -0.08019078]
rotation=[0.7735963, 0.5663436, -0.23794727, -0.15551421]
rotation=[0.80752057, 0.5075263, -0.23715957, -0.18461604]
rotation=[0.957041, 0.17163219, -0.23322615, -0.014847482]
rotation=[0.987665, 0.090704165, -0.11488256, 0.055610348]
rotation=[0.97604394, 0.15348737, -0.08249989, 0.13028309]
rotation=[0.722492, 0.6424637, 0.25536165, -0.0060175955]
rotation=[0.83150184, 0.48882177, 0.084816486, -0.24992828]
rotation=[0.87147063, 0.40864313, 0.205499, 0.1769744]
rotation=[0.92938477, 0.30403122, 0.18346234, 0.10074965]
rotation=[0.9412732, 0.26332244, 0.18957141, 0.09342758]
rotation=[0.8437631, 0.03904757, -0.13391732, -0.5182714]
rotation=[0.65493864, 0.111171894, -0.31118834, -0.6796013]
rotation=[0.9963679, 0.067859925, -0.00066077086, -0.05143636]
rotation=[0.94973916, 0.23738009, -0.19749217, 0.051410876]
rotation=[0.92220664, 0.18483084, 0.03791398, -0.3375425]
rotation=[0.9327357, 0.04663118, -0.1488497, -0.3250747]
rotation=[0.98667014, 0.14947748, 0.051374316, -0.038719937]
rotation=[0.98130786, 0.17411937, 0.018221388, -0.079908594]
rotation=[0.92870545, 0.1964988, 0.049522337, -0.310551]
rotation=[0.94159836, 0.24835052, 0.17076266, -0.15018174]
rotation=[0.93219006, 0.20404895, 0.056055386, -0.29367247]
rotation=[0.90181726, 0.1926943, 0.0064046495, -0.38672143]
rotation=[0.95291424, 0.30172533, 0.011744596, -0.027898615]
rotation=[0.9732152, 0.22472218, 0.024411373, 0.041907094]
rotation=[0.8790475, 0.4454248, -0.0055884523, -0.1698264]
rotation=[0.87439644, 0.4579414, 0.060379196, -0.14857596]
rotation=[0.8510686, 0.46870637, 0.22403863, 0.07617953]
rotation=[0.9341913, 0.35256878, -0.03516805, -0.04177467]
rotation=[0.9779335, 0.20737527, -0.025270382, -0.0016800165]
rotation=[0.94033223, 0.08064851, -0.3187194, 0.087687634]
rotation=[0.93036485, 0.09912136, -0.34008995, 0.09452519]
rotation=[0.9423039, 0.14411496, -0.2726397, 0.13023776]
rotation=[0.7721423, 0.22041444, -0.3776725, 0.46106088]
rotation=[0.9834892, 0.105068944, 0.11713372, -0.08938239]
rotation=[0.6619816, 0.14134796, -0.31672892, -0.66444254]
rotation=[0.77895427, 0.20814013, -0.18524437, -0.5617761]
rotation=[0.8429576, 0.072161645, -0.19406861, -0.4965406]
rotation=[0.9298973, 0.33226487, 0.15384047, -0.034989677]
rotation=[0.9685197, 0.23489206, 0.062112797, -0.054197688]
rotation=[0.8904056, 0.4327217, 0.14089923, 0.008785243]
rotation=[0.95655775, 0.23782381, 0.16166209, -0.047985397]
rotation=[0.91168344, 0.31064528, 0.2673208, 0.029534563]
rotation=[0.9346195, 0.3285004, 0.12655033, -0.050585993]
rotation=[0.8806774, 0.42905077, 0.1999143, 0.018896127]
rotation=[0.85743797, 0.46246195, 0.22129616, 0.04423827]
rotation=[0.8062625, 0.5255756, 0.26467216, 0.06049612]
rotation=[0.90029114, 0.2820189, 0.008050778, -0.33147603]
rotation=[0.9781673, 0.19346416, -0.026498789, -0.07112169]
rotation=[0.50410247, 0.20678115, -0.36357543, -0.75560254]
rotation=[0.69844663, 0.39681357, -0.19304375, -0.56342286]
rotation=[0.84618306, 0.2095288, -0.40605143, -0.2742156]
rotation=[0.8392676, -0.1693288, -0.5067218, -0.100948006]
rotation=[0.7031171, -0.5000838, -0.40638578, -0.3006547]
